id,title,description,google_product_category,product_type,link,image_link,condition,availability,price,sale_price,brand,mpn,gtin,custom_label_0,is_bundle,custom_label_1,promotion_id,energy_efficiency_class,additional_image_link
1-P-142371,"VAX ONEPWR Blade 4 Pet Cordless Vacuum Cleaner","Our best for tougher cleaning, with the addition of a motorised pet tool and antimicrobial protection.
","Home &amp; Garden &gt; Household Appliances",Cordless,https://www-local2.vax.co.uk/onepwr-blade-4-pet-vacuum-cleaner,https://www-local2.vax.co.uk/media/catalog/product/b/l/blade_4_pet_01_direct_72dpi_880x880.jpg,new,"OUT OF STOCK","259.99 GBP","259.99 GBP",Vax,1-P-142371,5012512170473,Cordless,1,,,,https://www-local2.vax.co.uk/media/catalog/product/v/a/vaxuk3366_-_blade_4_pet.jpg
1-P-142435,"VAX ONEPWR Blade 4 Dual Pet Cordless Vacuum Cleaner","Our best for tougher cleaning, with the addition of a motorised pet tool and antimicrobial protection and up to 90 minutes runtime.
","Home &amp; Garden &gt; Household Appliances",Cordless,https://www-local2.vax.co.uk/onepwr-blade-4-pet-dual-battery,https://www-local2.vax.co.uk/media/catalog/product/b/l/blade_4_dual_pet_01_direct_72dpi_880x880.jpg,new,"OUT OF STOCK","329.99 GBP","329.99 GBP",Vax,1-P-142435,5012512171128,Cordless,1,,,,https://www-local2.vax.co.uk/media/catalog/product/v/a/vaxuk3366_-_blade_4_dual_pet.jpg
1-P-142611,"VAX ONEPWR Blade 5 Dual Pet & Car Cordless Vacuum Cleaner","With up to 90 minutes runtime‡ and extra tools for the home and car, our most innovative cordless vacuum cleaner features new VersaClean Technology and CleanControl real-time display, for high performance cleaning.
","Home &amp; Garden &gt; Household Appliances","Vacuum Cleaner",https://www-local2.vax.co.uk/blade-5-dual-pet-and-car-plus-toolkit,https://www-local2.vax.co.uk/media/catalog/product/b/l/blade_5_dual_pet_car_01_direct_72dpi_880x880_1.jpg,new,"OUT OF STOCK","449.99 GBP","449.99 GBP",Vax,1-P-142611,5012512172859,"Vacuum Cleaner",1,,,,https://www-local2.vax.co.uk/media/catalog/product/v/a/vaxuk3366_-_blade_5_dual_pet_car.jpg
1-1-142576,"VAX SpotWash Home Duo","The must have cleaning companion: remove spills, stains and pet messes in the home and car. With dedicated cleaning tools and antimicrobial protection for a reassuring clean.
","Home &amp; Garden &gt; Household Appliances",Cordless,https://www-local2.vax.co.uk/spotwash-home-duo-spot-cleaner,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_6527c5fc63bf9_SpotWash_Home_Duo_01_direct_72DPI_880x880_ysgqxm.jpg,new,"OUT OF STOCK","169.99 GBP","129.99 GBP",Vax,1-1-142576,5012512172446,Cordless,0,,,,https://www-local2.vax.co.uk/media/catalog/product/v/a/vaxuk3366_-_spotwash_home_duo_1.jpg
1-9-142404,"VAX Platinum Antibacterial Carpet Cleaning Solution 1.5L","Our best solution just got better. Vax Platinum Antibacterial Solution provides high-performance cleaning, now with antibacterial properties. 
","Home &amp; Garden &gt; Household Appliance Accessories",Solution,https://www-local2.vax.co.uk/vax-platinum-antibacterial-carpet-cleaning-solution-1-5l,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_645e23dc6eefd_Platinum_Antibac_Citrus_Burst_1.5L_01_direct_72DPI_880x88_bmazhd.jpg,new,"OUT OF STOCK","24.99 GBP",,Vax,1-9-142404,5012512170800,Solution,0,,,,
1-9-142405,"VAX Platinum Antibacterial Carpet Cleaning Solution 4L","Our best solution just got better. Vax Platinum Antibacterial Solution provides high-performance cleaning, now with antibacterial properties. 
","Home &amp; Garden &gt; Household Appliance Accessories",Solution,https://www-local2.vax.co.uk/vax-platinum-antibacterial-carpet-cleaning-solution-4l,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_645e21e313bcb_Platinum_Antibac_Citrus_Burst_4L_01_direct_72DPI_880x88_b6ivyf.jpg,new,"OUT OF STOCK","44.99 GBP",,Vax,1-9-142405,5012512170817,Solution,0,,,,
1-9-139136,"VAX Platinum Professional Carpet Cleaning Solution 1.5L","Our best performing carpet washer solution, deep cleans your carpets and removes tough stubborn stains.
","Home &amp; Garden &gt; Household Appliance Accessories",Solution,https://www-local2.vax.co.uk/platinum-carpet-cleaning-solution-1-5l,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_645e2598efd46_Platinum_Professional_Rose_Burst_1.5L_01_direct_72DPI_880x88_ocukgm.jpg,new,"OUT OF STOCK","22.99 GBP",,Vax,1-9-139136,5012512164021,Solution,0,,,,
1-9-142060,"VAX Platinum Professional Carpet Cleaning Solution 4L","Our best performing carpet cleaner solution deep cleans your carpets and removes tough stubborn stains. Now in a large 4L size for better value.
","Home &amp; Garden &gt; Household Appliance Accessories",Solution,https://www-local2.vax.co.uk/vax-platinum-professional-carpet-cleaning-solution-4l,https://www-local2.vax.co.uk/media/catalog/product/p/l/platinum_4l_hero_500px.jpg,new,"OUT OF STOCK","39.99 GBP",,Vax,1-9-142060,5012512167282,Solution,0,,,,
1-9-142410,"VAX Spot Washer Solution 1L","Vax Spot Washer Solution. Specifically formulated spot washer cleaning solution designed to target everyday stains.
","Home &amp; Garden &gt; Household Appliance Accessories",Solution,https://www-local2.vax.co.uk/spotwasher-solution-1l,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_645e29a945a9d_Spotwasher_Rose_Burst_Solution_1L_01_direct_72DPI_880x88_b3l6zv.jpg,new,"OUT OF STOCK","9.99 GBP",,Vax,1-9-142410,5012512170862,Solution,0,,,,
1-9-142409,"VAX Spot Washer Antibacterial Solution 1L","Designed for deep cleaning and kills 99.99% of bacteria.&nbsp; Use to treat and extract anything from everyday dirt all the way through to pet messes and bad bacteria which can cause unpleasant odours.&nbsp; With Carpetguard™ protection - leaves your carpets fresher for longer.
","Home &amp; Garden &gt; Household Appliance Accessories",Solution,https://www-local2.vax.co.uk/spot-wash-antibacterial-1l,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_645e27bde5598_Spotwasher_Citrus_Burst_Antibac_Solution_1L_01_direct_72DPI_880x88_la4d8h.jpg,new,"OUT OF STOCK","12.99 GBP",,Vax,1-9-142409,5012512170855,Solution,0,,,,
1-1-142359,"VAX SpotWash Spot Cleaner","Effectively tackles everyday spills and stains. Be prepared for unexpected accidents.
","Home &amp; Garden &gt; Household Appliances","Carpet Cleaner",https://www-local2.vax.co.uk/spotwash-spot-cleaner,https://www-local2.vax.co.uk/media/catalog/product/s/p/spotwash_01_direct_72dpi_880x880_880x880.jpg,new,"OUT OF STOCK","129.99 GBP","99.99 GBP",Vax,1-1-142359,5012512170350,"Carpet Cleaner",0,,,,https://www-local2.vax.co.uk/media/catalog/product/v/a/vaxuk3366_-_spotwash_red.jpg
1-1-142717,"VAX SpotWash Duo Spot Cleaner","Effectively tackles everyday spills, stains and spot cleaning tasks. With dedicated tools, tackle pet messes & tougher cleaning with one attachment, and quick clean ups & refreshes with the other.
","Home &amp; Garden &gt; Household Appliances","Carpet Cleaner",https://www-local2.vax.co.uk/spotwash-duo-spot-cleaner,https://www-local2.vax.co.uk/media/catalog/product/s/p/spotwash_duo_01_direct_72dpi_880x880_3.jpg,new,"OUT OF STOCK","139.99 GBP","139.99 GBP",Vax,1-1-142717,5012512173931,"Carpet Cleaner",0,,,,https://www-local2.vax.co.uk/media/catalog/product/v/a/vaxuk3366_-_spotwash_duo.jpg
1-1-142589,"VAX Rapid Power 2 Reach Carpet Cleaner","VAX Rapid Power 2 Reach is ideal for a deep clean, with extra-long cleaning reach for easy access of car interiors and tools for a whole home clean. Leaves your carpets dry in as little as 1 hour.*
","Home &amp; Garden &gt; Household Appliances",Cordless,https://www-local2.vax.co.uk/rapid-power-2-reach,https://www-local2.vax.co.uk/media/catalog/product/r/a/rapid_power_2_reach_01_direct_72dpi_880x880_880x880.jpg,new,"OUT OF STOCK","249.99 GBP","149.99 GBP",Vax,1-1-142589,5012512172644,Cordless,0,,,,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_627237ed7f412_vax_rapid_power_2_reach_-_in_use_hero_1_w0tggq.jpg
1-1-137301,"VAX Steam Fresh Power Plus Steam Cleaner ","The Vax Steam Fresh Power Plus is a multifunction steam mop with handheld and reach wand. Using steam and detergent it breaks down grease and grime faster than steam alone to leave your home smelling fresh. Plus, the added benefit of 360 degree steam tools means no place is too hard to reach.
","Home &amp; Garden &gt; Household Appliances",Cordless,https://www-local2.vax.co.uk/vax-steam-fresh-power-cleaner,https://www-local2.vax.co.uk/media/catalog/product/s/t/steam-fresh-power-plus.jpg,new,"OUT OF STOCK","119.99 GBP",,Vax,1-1-137301,5012512158860,Cordless,0,,,,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_62c6a470832cd_VAX_Steam_Fresh_Power_Plus_-_Bathroom_Wide_-_2000px_eyrzcg.jpg
1-1-139287,"VAX Air Lift Steerable Pet Max","The Vax Air Steerable Pet Max is perfect for the stairs and hard to reach places in your home. It's great for cleaning the stairs and car too.
","Home &amp; Garden &gt; Household Appliances",Cordless,https://www-local2.vax.co.uk/vax-air-lift-steerable-pet-max-vacuum-cleaner-2,https://www-local2.vax.co.uk/media/catalog/product/a/i/airlift_pet_max_01_direct_72dpi_880x880.jpg,new,"OUT OF STOCK","129.99 GBP",,Vax,1-1-139287,5012512164533,Cordless,0,,,,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_62ce766f51d7d_06_AIR_LIFT_PET_MAX_800_298_JAY_grdkap.jpg
1-1-142389,"VAX Air Lift 2 Pet","Get a whole home clean with new VersaClean Technology and lift-out design for cleaning above the floor and in the car.
","Home &amp; Garden &gt; Household Appliances",Cordless,https://www-local2.vax.co.uk/vax-air-lift-2-pet,https://www-local2.vax.co.uk/media/catalog/product/a/i/airlift_2_pet_01_direct_72dpi_880x880_880x880.jpg,new,"OUT OF STOCK","199.99 GBP","129.99 GBP",Vax,1-1-142389,5012512170657,Cordless,0,,,,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_62753b01cb269_vax_air_lift_2_pet_-_in_use_hero_lift_out_3qtr_-v6_d4gw1g.jpg
1-1-142388,"VAX Air Lift 2 Pet Plus","Designed for busier homes with kids & pets, our best-ever corded upright is ideal for a whole home clean, complete with new VersaClean Technology and lift-out design for cleaning above the floor and in the car.
","Home &amp; Garden &gt; Household Appliances",Cordless,https://www-local2.vax.co.uk/vax-air-lift-2-pet-plus,https://www-local2.vax.co.uk/media/catalog/product/a/i/airlift_2_pet_plus_01_direct_72dpi_880x880_1.jpg,new,"OUT OF STOCK","219.99 GBP","219.99 GBP",Vax,1-1-142388,5012512170640,Cordless,0,,,,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_62ce71e7b8b81_AirLift_2_Pet_Plus_Main_Header_uiqbsz.jpg
1-1-141030,"VAX Rapid Power Revive Carpet Cleaner","Deep clean your carpets, upholstery and car interiors. Leaves your carpets dry in less than 1 hour*
","Home &amp; Garden &gt; Household Appliances","Carpet Cleaner",https://www-local2.vax.co.uk/rapid-power-revive-carpet-cleaner,https://www-local2.vax.co.uk/media/catalog/product/r/a/rapid_power_revive_01_direct_72dpi_880x880_5.jpg,new,"OUT OF STOCK","199.99 GBP","129.99 GBP",Vax,1-1-141030,5012512165141,"Carpet Cleaner",0,,,,https://www-local2.vax.co.uk/media/catalog/product/r/a/rapid_power_revive_product_page_banner_2000x1333.jpg
1-1-142462,"VAX ONEPWR Pace Cordless Vacuum Cleaner","The cleaning performance of the UK's best-selling corded uprights** in a compact cordless vacuum.
","Home &amp; Garden &gt; Household Appliances",Cordless,https://www-local2.vax.co.uk/pace,https://www-local2.vax.co.uk/media/catalog/product/p/a/pace_01_direct_72dpi_880x880_880x880.jpg,new,"OUT OF STOCK","149.99 GBP","129.99 GBP",Vax,1-1-142462,5012512172132,Cordless,0,,,,https://www-local2.vax.co.uk/media/catalog/product/p/a/pace_header_pjwqgv_no_accreditation.jpg
1-1-142463,"VAX ONEPWR Pace Pet Cordless Vacuum Cleaner","The cleaning performance of the UK's best-selling corded uprights*, with additional features for busier homes with kids & pets.
","Home &amp; Garden &gt; Household Appliances",Cordless,https://www-local2.vax.co.uk/pace-pet,https://www-local2.vax.co.uk/media/catalog/product/p/a/pace_pet_01_direct_72dpi_880x880_880x880.jpg,new,"OUT OF STOCK","159.99 GBP","139.99 GBP",Vax,1-1-142463,5012512172149,Cordless,0,,,,https://www-local2.vax.co.uk/media/catalog/product/v/a/vax-pace-pet-hero_copyhb_no_accreditation.jpg
1-P-142314,"VAX ONEPWR Glide Hard Floor Cleaner","Make light work of cleaning hard floors: wash, vacuum and dry at the same time with the VAX Glide Hard Floor Cleaner.
","Home &amp; Garden &gt; Household Appliances","Steam Cleaner",https://www-local2.vax.co.uk/onepwr-glide-hard-floor-cleaner-2,https://www-local2.vax.co.uk/media/catalog/product/g/l/glide_hlp_dec-jan.jpg,new,"OUT OF STOCK","249.99 GBP","199.99 GBP",Vax,1-P-142314,5012512169880,"Steam Cleaner",1,,,,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_62c69f6901d28_cld_6294c9752811d_cld_628f89fd8150d_VAX_ONEPWR_Glide_-_Wash_Vacuum_Dry_1_logo_zvbvy3.jpg
1-9-142097,"VAX ONEPWR Multi-floor Solution 4L","For use with the ONEPWR wet cleaning range. Kills 99.9% Bacteria. Woolsafe & Cleanseal Approved. Citrus & Blossom Fragrance.
","Home &amp; Garden &gt; Household Appliance Accessories",Solution,https://www-local2.vax.co.uk/onepwr-solution-4l,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_645e26899b517_ONEPWR_Multifloor_Citrus_Burst_4L_01_direct_72DPI_880x88_fhwcyj.jpg,new,"OUT OF STOCK","29.99 GBP",,Vax,1-9-142097,,Solution,0,,,,
1-9-142276,"VAX ONEPWR Multi-floor Solution 1L","For use with the ONEPWR wet cleaning range. Kills 99.9% Bacteria. Woolsafe & Cleanseal Approved. Citrus & Blossom Fragrance.
","Home &amp; Garden &gt; Household Appliance Accessories",Solution,https://www-local2.vax.co.uk/onepwr-solution-1l,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_645e272e11f58_ONEPWR_Multifloor_Citrus_Burst_1L_01_direct_72DPI_880x88_tkvyxt.jpg,new,"OUT OF STOCK","9.99 GBP",,Vax,1-9-142276,,Solution,0,,,,
1-1-142258,"VAX Rapid Power Refresh Carpet Cleaner","The Rapid Power Refresh Carpet Washer deep cleans your carpets. Leaves your carpets dry in less than an hour*.&nbsp;",,"Carpet Cleaner",https://www-local2.vax.co.uk/rapid-power-refresh,https://www-local2.vax.co.uk/media/catalog/product/r/a/rapid_power_refresh_01_direct_72dpi_880x880.jpg,new,"OUT OF STOCK","199.99 GBP","199.99 GBP",Vax,1-1-142258,5012512169293,"Carpet Cleaner",0,,,,https://www-local2.vax.co.uk/media/catalog/product/r/a/rapid_power_refresh_product_page_banner_2000x1333.jpg
1-1-142749,"VAX Platinum SmartWash Pet-Design Carpet Cleaner","VAX's best ever carpet washer kills over 99% of bacteria‡‡, is effortlessly simple to use and now with new, integrated pre-treatment wand, tackles tough stains and odours with ease - ideal for busy homes with pets. 
+ Free Steamer Worth £49.99",,"Carpet Cleaner",https://www-local2.vax.co.uk/vax-smartwash-pet-design,https://www-local2.vax.co.uk/media/catalog/product/p/l/platinum_smartwash_pet-design_01_direct_72dpi_880x880_880x880.jpg,new,"OUT OF STOCK","349.99 GBP","229.99 GBP",Vax,1-1-142749,5012512174273,"Carpet Cleaner",0,,,,https://www-local2.vax.co.uk/media/catalog/product/v/a/vaxuk3366_-_smartwash_pet_design.jpg
1-1-142893,"VAX Spot Washing Solutions Bundle","Designed for use with any of our spot washers, this cleaning solutions bundle includes antibacterial solution with our latest fragrance, pre-treatment solution for stubborn stains and a CarpetGuard™ Protector which helps keep your carpets looking fresher for longer. ",,Solution,https://www-local2.vax.co.uk/spot-washing-solutions-bundle,https://www-local2.vax.co.uk/media/catalog/product/s/p/spowash_home_solution_kit_880x880.jpg,new,"OUT OF STOCK","32.99 GBP","16.99 GBP",Vax,1-1-142893,,Solution,0,,,,
1-9-142879,"Pet Stain & Odour Remover Pre-Treatment Solution 1 Litre Refill ","Our fast-acting formula effortlessly breaks down pet stains and odours. Use as a pre-treatment to loosen up stubborn pet stains and embedded dirt. For best results, follow up using the pre-treatment by washing as normal with your Vax carpet or spot washer.",,Solution,https://www-local2.vax.co.uk/pet-stain-odour-remover-pre-treatment-solution-1litre,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_645e324f078c1_Pet_Stain_Odour_Remover_Pre_Treatment_Solution_1L_Refill_01_direct_72DPI_880x88_jcmv8t.jpg,new,"OUT OF STOCK","12.99 GBP",,Vax,1-9-142879,5012512175621,Solution,0,,,,
1-P-142882,"VAX ONEPWR Glide 2","Our best performing cordless hard floor cleaner for spills, stains and deep cleans - VAX Glide 2 washes, extracts and dries in one simple step, killing 99.9% of bacteria*.",,Cordless,https://www-local2.vax.co.uk/onepwr-glide-2-plus-free-solution-brushroll,https://www-local2.vax.co.uk/media/catalog/product/g/l/glide_2_1.jpg,new,"OUT OF STOCK","349.99 GBP","249.99 GBP",Vax,1-P-142882,5012512175720,Cordless,1,,,,https://www-local2.vax.co.uk/media/catalog/product/v/a/vaxuk3366_-_glide_2.jpg
1-P-142971,"VAX SpotWash Home Pet-Design","Our best cleaning companion for effortlessly removing spills, stains and pet messes with complete home versatility. Plus expert cleaning tools for a reassuring, deep clean, killing over 99% of bacteria‡‡. 
+ Free Stain Removal Kit Worth £30",,"Carpet Cleaner",https://www-local2.vax.co.uk/spotwash-home-pet-design-plus-stain-removal-kit,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_6658270591e44_SpotWash_Home_Pet-Design_01_direct_72DPI_880x880_cgkgbk.jpg,new,"OUT OF STOCK","199.99 GBP","199.99 GBP",Vax,1-P-142971,5012512176901,"Carpet Cleaner",1,,,,https://www-local2.vax.co.uk/media/catalog/product/s/p/spotwash_home_pet-design_homepage_banner_2x.jpg
1-1-142940,"VAX SpotWash Home Cordless Bare Unit","The cordless answer to cleaning spills, stains and pet messes in the home, car and on the go. Tackle stubborn clean ups with boost mode which gives 25% more suction powerΔ to make light work of restoring calm. 
Bare unit - battery and charger not included.",,"Carpet Cleaner",https://www-local2.vax.co.uk/vax-spotwash-home-cordless-bare-unit,https://www-local2.vax.co.uk/media/catalog/product/u/n/untitled_design_8_.png,new,"OUT OF STOCK","149.99 GBP",,Vax,1-1-142940,5012512176543,"Carpet Cleaner",0,,,,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_65fc0367ce2d2_SpotWash_Home_Cordless_Product_Page_Header_Static_n2sl39.jpg
